[2026-09-24T05:42:51.878451Z] new run in runs/main: 14928 planned calls
[2026-09-24T05:42:52.359847Z] model block: llama3.3:70b (repeat 1)
[2026-09-24T13:25:55.839246Z] 7059/14928 r2-qwen3_8b-s0754-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:25:57.140065Z] 7060/14928 r2-qwen3_8b-s0754-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:25:59.685312Z] 7061/14928 r2-qwen3_8b-s0407-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:26:01.075991Z] 7062/14928 r2-qwen3_8b-s0407-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:26:03.810459Z] 7063/14928 r2-qwen3_8b-s0761-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:26:05.639095Z] 7064/14928 r2-qwen3_8b-s0761-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:26:08.133542Z] 7065/14928 r2-qwen3_8b-s0159-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:26:09.488359Z] 7066/14928 r2-qwen3_8b-s0159-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:26:12.060482Z] 7067/14928 r2-qwen3_8b-s0644-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:26:13.437291Z] 7068/14928 r2-qwen3_8b-s0644-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:26:15.074668Z] 7069/14928 r2-qwen3_8b-s0402-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:26:17.548799Z] 7070/14928 r2-qwen3_8b-s0402-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:26:20.307013Z] 7071/14928 r2-qwen3_8b-s0132-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:26:21.803489Z] 7072/14928 r2-qwen3_8b-s0132-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:26:23.331897Z] 7073/14928 r2-qwen3_8b-s1158-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:26:25.915141Z] 7074/14928 r2-qwen3_8b-s1158-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:26:27.290015Z] 7075/14928 r2-qwen3_8b-s0284-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:26:30.168145Z] 7076/14928 r2-qwen3_8b-s0284-exposed valid=True action=CASH latency=2.9s
[2026-09-24T13:26:32.029781Z] 7077/14928 r2-qwen3_8b-s0663-hidden valid=True action=BTC latency=1.8s
[2026-09-24T13:26:34.469475Z] 7078/14928 r2-qwen3_8b-s0663-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:26:36.923338Z] 7079/14928 r2-qwen3_8b-s0821-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:26:38.630618Z] 7080/14928 r2-qwen3_8b-s0821-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:26:41.097857Z] 7081/14928 r2-qwen3_8b-s0442-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:26:42.617011Z] 7082/14928 r2-qwen3_8b-s0442-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:26:45.239539Z] 7083/14928 r2-qwen3_8b-s0575-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:26:46.760367Z] 7084/14928 r2-qwen3_8b-s0575-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:26:49.011463Z] 7085/14928 r2-qwen3_8b-s1117-exposed valid=True action=BTC latency=2.2s
[2026-09-24T13:26:50.647310Z] 7086/14928 r2-qwen3_8b-s1117-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:26:52.320195Z] 7087/14928 r2-qwen3_8b-s1066-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:26:54.752808Z] 7088/14928 r2-qwen3_8b-s1066-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:26:56.960830Z] 7089/14928 r2-qwen3_8b-s1187-exposed valid=True action=ABSTAIN latency=2.2s
[2026-09-24T13:26:58.710657Z] 7090/14928 r2-qwen3_8b-s1187-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-24T13:27:01.162887Z] 7091/14928 r2-qwen3_8b-s1084-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:27:02.924903Z] 7092/14928 r2-qwen3_8b-s1084-hidden valid=True action=BTC latency=1.8s
[2026-09-24T13:27:05.465156Z] 7093/14928 r2-qwen3_8b-s0077-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:27:06.724597Z] 7094/14928 r2-qwen3_8b-s0077-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:27:09.238165Z] 7095/14928 r2-qwen3_8b-s0068-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:27:11.099586Z] 7096/14928 r2-qwen3_8b-s0068-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-24T13:27:12.803697Z] 7097/14928 r2-qwen3_8b-s0196-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-24T13:27:15.523748Z] 7098/14928 r2-qwen3_8b-s0196-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:27:17.244290Z] 7099/14928 r2-qwen3_8b-s0323-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-24T13:27:19.494619Z] 7100/14928 r2-qwen3_8b-s0323-exposed valid=True action=ABSTAIN latency=2.2s
[2026-09-24T13:27:21.219406Z] 7101/14928 r2-qwen3_8b-s0551-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:27:23.422996Z] 7102/14928 r2-qwen3_8b-s0551-exposed valid=True action=BTC latency=2.2s
[2026-09-24T13:27:25.238893Z] 7103/14928 r2-qwen3_8b-s0954-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:27:27.995123Z] 7104/14928 r2-qwen3_8b-s0954-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:27:29.299158Z] 7105/14928 r2-qwen3_8b-s0772-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:27:31.835989Z] 7106/14928 r2-qwen3_8b-s0772-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:27:34.769645Z] 7107/14928 r2-qwen3_8b-s0837-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:27:36.277059Z] 7108/14928 r2-qwen3_8b-s0837-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:27:39.147388Z] 7109/14928 r2-qwen3_8b-s0750-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:27:40.745618Z] 7110/14928 r2-qwen3_8b-s0750-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-24T13:27:42.216751Z] 7111/14928 r2-qwen3_8b-s0517-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:27:45.156218Z] 7112/14928 r2-qwen3_8b-s0517-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:27:46.640310Z] 7113/14928 r2-qwen3_8b-s0143-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:27:49.181043Z] 7114/14928 r2-qwen3_8b-s0143-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:27:52.006570Z] 7115/14928 r2-qwen3_8b-s0338-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:27:53.555693Z] 7116/14928 r2-qwen3_8b-s0338-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:27:55.400255Z] 7117/14928 r2-qwen3_8b-s0579-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:27:58.300703Z] 7118/14928 r2-qwen3_8b-s0579-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:28:00.597460Z] 7119/14928 r2-qwen3_8b-s0711-exposed valid=True action=BTC latency=2.3s
[2026-09-24T13:28:02.009113Z] 7120/14928 r2-qwen3_8b-s0711-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:28:03.427701Z] 7121/14928 r2-qwen3_8b-s0100-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:28:06.310853Z] 7122/14928 r2-qwen3_8b-s0100-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:28:09.007113Z] 7123/14928 r2-qwen3_8b-s0074-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:28:10.497130Z] 7124/14928 r2-qwen3_8b-s0074-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:28:12.045932Z] 7125/14928 r2-qwen3_8b-s0842-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:28:14.555339Z] 7126/14928 r2-qwen3_8b-s0842-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:28:16.063628Z] 7127/14928 r2-qwen3_8b-s1192-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:28:18.587262Z] 7128/14928 r2-qwen3_8b-s1192-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:28:20.328360Z] 7129/14928 r2-qwen3_8b-s1126-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:28:22.801650Z] 7130/14928 r2-qwen3_8b-s1126-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:28:24.311913Z] 7131/14928 r2-qwen3_8b-s0760-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:28:26.866382Z] 7132/14928 r2-qwen3_8b-s0760-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:28:29.725612Z] 7133/14928 r2-qwen3_8b-s0506-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:28:31.578992Z] 7134/14928 r2-qwen3_8b-s0506-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-24T13:28:34.359303Z] 7135/14928 r2-qwen3_8b-s1015-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:28:35.874973Z] 7136/14928 r2-qwen3_8b-s1015-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:28:37.214656Z] 7137/14928 r2-qwen3_8b-s0660-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:28:39.684399Z] 7138/14928 r2-qwen3_8b-s0660-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:28:41.465805Z] 7139/14928 r2-qwen3_8b-s0224-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:28:44.114815Z] 7140/14928 r2-qwen3_8b-s0224-exposed valid=True action=CASH latency=2.6s
[2026-09-24T13:28:46.571667Z] 7141/14928 r2-qwen3_8b-s0790-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:28:48.240356Z] 7142/14928 r2-qwen3_8b-s0790-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:28:49.624137Z] 7143/14928 r2-qwen3_8b-s0487-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:28:52.471335Z] 7144/14928 r2-qwen3_8b-s0487-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:28:53.865406Z] 7145/14928 r2-qwen3_8b-s1178-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:28:56.642976Z] 7146/14928 r2-qwen3_8b-s1178-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:28:59.014101Z] 7147/14928 r2-qwen3_8b-s1098-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:29:00.890485Z] 7148/14928 r2-qwen3_8b-s1098-hidden valid=True action=BTC latency=1.9s
[2026-09-24T13:29:02.365138Z] 7149/14928 r2-qwen3_8b-s0062-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:29:04.584691Z] 7150/14928 r2-qwen3_8b-s0062-exposed valid=True action=ABSTAIN latency=2.2s
[2026-09-24T13:29:07.251959Z] 7151/14928 r2-qwen3_8b-s0682-exposed valid=True action=BTC latency=2.7s
[2026-09-24T13:29:08.888930Z] 7152/14928 r2-qwen3_8b-s0682-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:29:11.317650Z] 7153/14928 r2-qwen3_8b-s1218-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:29:13.200515Z] 7154/14928 r2-qwen3_8b-s1218-hidden valid=True action=BTC latency=1.9s
[2026-09-24T13:29:15.798237Z] 7155/14928 r2-qwen3_8b-s0787-exposed valid=True action=BTC latency=2.6s
[2026-09-24T13:29:17.624562Z] 7156/14928 r2-qwen3_8b-s0787-hidden valid=True action=BTC latency=1.8s
[2026-09-24T13:29:19.263166Z] 7157/14928 r2-qwen3_8b-s0172-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-24T13:29:21.665182Z] 7158/14928 r2-qwen3_8b-s0172-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:29:23.118972Z] 7159/14928 r2-qwen3_8b-s0486-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:29:25.716095Z] 7160/14928 r2-qwen3_8b-s0486-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:29:28.632824Z] 7161/14928 r2-qwen3_8b-s0871-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:29:30.106345Z] 7162/14928 r2-qwen3_8b-s0871-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:29:32.326431Z] 7163/14928 r2-qwen3_8b-s0662-exposed valid=True action=BTC latency=2.2s
[2026-09-24T13:29:34.136529Z] 7164/14928 r2-qwen3_8b-s0662-hidden valid=True action=BTC latency=1.8s
[2026-09-24T13:29:36.187716Z] 7165/14928 r2-qwen3_8b-s0541-exposed valid=True action=BTC latency=2.0s
[2026-09-24T13:29:37.570564Z] 7166/14928 r2-qwen3_8b-s0541-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:29:40.350940Z] 7167/14928 r2-qwen3_8b-s1001-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:29:41.786676Z] 7168/14928 r2-qwen3_8b-s1001-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:29:44.613105Z] 7169/14928 r2-qwen3_8b-s0909-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:29:46.368510Z] 7170/14928 r2-qwen3_8b-s0909-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:29:47.887197Z] 7171/14928 r2-qwen3_8b-s0348-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:29:50.433434Z] 7172/14928 r2-qwen3_8b-s0348-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:29:52.794248Z] 7173/14928 r2-qwen3_8b-s0353-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:29:54.630666Z] 7174/14928 r2-qwen3_8b-s0353-hidden valid=True action=CASH latency=1.8s
[2026-09-24T13:29:57.160911Z] 7175/14928 r2-qwen3_8b-s0470-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:29:58.636740Z] 7176/14928 r2-qwen3_8b-s0470-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:30:00.398119Z] 7177/14928 r2-qwen3_8b-s0293-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:30:02.793997Z] 7178/14928 r2-qwen3_8b-s0293-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:30:05.223679Z] 7179/14928 r2-qwen3_8b-s1081-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:30:06.965005Z] 7180/14928 r2-qwen3_8b-s1081-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:30:09.909458Z] 7181/14928 r2-qwen3_8b-s0646-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:30:11.505440Z] 7182/14928 r2-qwen3_8b-s0646-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-24T13:30:14.258529Z] 7183/14928 r2-qwen3_8b-s0333-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:30:15.760503Z] 7184/14928 r2-qwen3_8b-s0333-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:30:17.112673Z] 7185/14928 r2-qwen3_8b-s0014-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:30:20.062767Z] 7186/14928 r2-qwen3_8b-s0014-exposed valid=True action=CASH latency=2.9s
[2026-09-24T13:30:21.378552Z] 7187/14928 r2-qwen3_8b-s0295-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:30:24.009261Z] 7188/14928 r2-qwen3_8b-s0295-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:30:25.941601Z] 7189/14928 r2-qwen3_8b-s1033-hidden valid=True action=BTC latency=1.9s
[2026-09-24T13:30:28.415028Z] 7190/14928 r2-qwen3_8b-s1033-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:30:31.062163Z] 7191/14928 r2-qwen3_8b-s1103-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:30:32.461560Z] 7192/14928 r2-qwen3_8b-s1103-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:30:34.098986Z] 7193/14928 r2-qwen3_8b-s0400-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:30:36.360504Z] 7194/14928 r2-qwen3_8b-s0400-exposed valid=True action=BTC latency=2.3s
[2026-09-24T13:30:37.979698Z] 7195/14928 r2-qwen3_8b-s1050-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-24T13:30:40.260659Z] 7196/14928 r2-qwen3_8b-s1050-exposed valid=True action=BTC latency=2.3s
[2026-09-24T13:30:43.000413Z] 7197/14928 r2-qwen3_8b-s0650-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:30:44.433496Z] 7198/14928 r2-qwen3_8b-s0650-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:30:45.923445Z] 7199/14928 r2-qwen3_8b-s0434-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:30:48.738937Z] 7200/14928 r2-qwen3_8b-s0434-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:30:51.773743Z] 7201/14928 r2-qwen3_8b-s0166-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:30:53.071006Z] 7202/14928 r2-qwen3_8b-s0166-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:30:55.493549Z] 7203/14928 r2-qwen3_8b-s1139-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:30:56.924442Z] 7204/14928 r2-qwen3_8b-s1139-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:30:59.311836Z] 7205/14928 r2-qwen3_8b-s1241-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:31:00.718649Z] 7206/14928 r2-qwen3_8b-s1241-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:31:02.586782Z] 7207/14928 r2-qwen3_8b-s1140-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-24T13:31:05.100367Z] 7208/14928 r2-qwen3_8b-s1140-exposed valid=True action=ABSTAIN latency=2.5s
[2026-09-24T13:31:07.578092Z] 7209/14928 r2-qwen3_8b-s1044-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:31:09.365040Z] 7210/14928 r2-qwen3_8b-s1044-hidden valid=True action=BTC latency=1.8s
[2026-09-24T13:31:10.744281Z] 7211/14928 r2-qwen3_8b-s0084-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:31:13.532361Z] 7212/14928 r2-qwen3_8b-s0084-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:31:15.078052Z] 7213/14928 r2-qwen3_8b-s0359-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:31:17.362563Z] 7214/14928 r2-qwen3_8b-s0359-exposed valid=True action=CASH latency=2.3s
[2026-09-24T13:31:20.075626Z] 7215/14928 r2-qwen3_8b-s0811-exposed valid=True action=BTC latency=2.7s
[2026-09-24T13:31:21.686753Z] 7216/14928 r2-qwen3_8b-s0811-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:31:24.150366Z] 7217/14928 r2-qwen3_8b-s1058-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:31:25.851308Z] 7218/14928 r2-qwen3_8b-s1058-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:31:28.681402Z] 7219/14928 r2-qwen3_8b-s1189-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:31:30.480046Z] 7220/14928 r2-qwen3_8b-s1189-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:31:33.263504Z] 7221/14928 r2-qwen3_8b-s1161-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:31:34.854483Z] 7222/14928 r2-qwen3_8b-s1161-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-24T13:31:37.243470Z] 7223/14928 r2-qwen3_8b-s0320-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:31:38.762029Z] 7224/14928 r2-qwen3_8b-s0320-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:31:40.099254Z] 7225/14928 r2-qwen3_8b-s0573-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:31:42.936057Z] 7226/14928 r2-qwen3_8b-s0573-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:31:44.430667Z] 7227/14928 r2-qwen3_8b-s0080-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:31:46.678200Z] 7228/14928 r2-qwen3_8b-s0080-exposed valid=True action=ABSTAIN latency=2.2s
[2026-09-24T13:31:48.162127Z] 7229/14928 r2-qwen3_8b-s0300-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:31:51.033000Z] 7230/14928 r2-qwen3_8b-s0300-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:31:53.602160Z] 7231/14928 r2-qwen3_8b-s0965-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:31:55.102218Z] 7232/14928 r2-qwen3_8b-s0965-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:31:56.572376Z] 7233/14928 r2-qwen3_8b-s0259-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:31:59.342560Z] 7234/14928 r2-qwen3_8b-s0259-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:32:00.842514Z] 7235/14928 r2-qwen3_8b-s1214-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:32:03.690476Z] 7236/14928 r2-qwen3_8b-s1214-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:32:05.223184Z] 7237/14928 r2-qwen3_8b-s0022-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:32:07.976881Z] 7238/14928 r2-qwen3_8b-s0022-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:32:09.487941Z] 7239/14928 r2-qwen3_8b-s0087-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:32:12.152752Z] 7240/14928 r2-qwen3_8b-s0087-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:32:14.996936Z] 7241/14928 r2-qwen3_8b-s0436-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:32:16.660678Z] 7242/14928 r2-qwen3_8b-s0436-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-24T13:32:18.173674Z] 7243/14928 r2-qwen3_8b-s0558-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:32:20.375650Z] 7244/14928 r2-qwen3_8b-s0558-exposed valid=True action=BTC latency=2.2s
[2026-09-24T13:32:23.054019Z] 7245/14928 r2-qwen3_8b-s0832-exposed valid=True action=ABSTAIN latency=2.7s
[2026-09-24T13:32:24.493535Z] 7246/14928 r2-qwen3_8b-s0832-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:32:25.810103Z] 7247/14928 r2-qwen3_8b-s0070-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:32:27.684658Z] 7248/14928 r2-qwen3_8b-s0070-exposed valid=True action=ABSTAIN latency=1.9s
[2026-09-24T13:32:29.389577Z] 7249/14928 r2-qwen3_8b-s1151-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-24T13:32:32.154800Z] 7250/14928 r2-qwen3_8b-s1151-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:32:35.011402Z] 7251/14928 r2-qwen3_8b-s0894-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:32:36.403630Z] 7252/14928 r2-qwen3_8b-s0894-hidden valid=True action=ABSTAIN latency=1.4s
[2026-09-24T13:32:38.852737Z] 7253/14928 r2-qwen3_8b-s1176-exposed valid=True action=ABSTAIN latency=2.4s
[2026-09-24T13:32:40.473246Z] 7254/14928 r2-qwen3_8b-s1176-hidden valid=True action=ABSTAIN latency=1.6s
[2026-09-24T13:32:41.799863Z] 7255/14928 r2-qwen3_8b-s0073-hidden valid=True action=ABSTAIN latency=1.3s
[2026-09-24T13:32:44.116945Z] 7256/14928 r2-qwen3_8b-s0073-exposed valid=True action=CASH latency=2.3s
[2026-09-24T13:32:45.832634Z] 7257/14928 r2-qwen3_8b-s0719-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:32:48.322951Z] 7258/14928 r2-qwen3_8b-s0719-exposed valid=True action=BTC latency=2.5s
[2026-09-24T13:32:50.103128Z] 7259/14928 r2-qwen3_8b-s1152-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-24T13:32:52.994227Z] 7260/14928 r2-qwen3_8b-s1152-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-24T13:32:55.302009Z] 7261/14928 r2-qwen3_8b-s0710-exposed valid=True action=BTC latency=2.3s
[2026-09-24T13:32:56.925399Z] 7262/14928 r2-qwen3_8b-s0710-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:32:58.578969Z] 7263/14928 r2-qwen3_8b-s0978-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-24T13:33:01.394061Z] 7264/14928 r2-qwen3_8b-s0978-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:33:03.980915Z] 7265/14928 r2-qwen3_8b-s0604-exposed valid=True action=ABSTAIN latency=2.6s
[2026-09-24T13:33:05.506435Z] 7266/14928 r2-qwen3_8b-s0604-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:33:07.419578Z] 7267/14928 r2-qwen3_8b-s0993-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-24T13:33:10.223211Z] 7268/14928 r2-qwen3_8b-s0993-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-24T13:33:12.670169Z] 7269/14928 r2-qwen3_8b-s0416-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:33:14.459599Z] 7270/14928 r2-qwen3_8b-s0416-hidden valid=True action=BTC latency=1.8s
[2026-09-24T13:33:16.121120Z] 7271/14928 r2-qwen3_8b-s0680-hidden valid=True action=BTC latency=1.6s
[2026-09-24T13:33:18.573438Z] 7272/14928 r2-qwen3_8b-s0680-exposed valid=True action=BTC latency=2.4s
[2026-09-24T13:33:20.926426Z] 7273/14928 r2-qwen3_8b-s0391-exposed valid=True action=BTC latency=2.3s
[2026-09-24T13:33:22.654278Z] 7274/14928 r2-qwen3_8b-s0391-hidden valid=True action=BTC latency=1.7s
[2026-09-24T13:33:24.188195Z] 7275/14928 r2-qwen3_8b-s0297-hidden valid=True action=ABSTAIN latency=1.5s
[2026-09-24T13:33:26.825984Z] 7276/14928 r2-qwen3_8b-s0297-exposed valid=True action=ABSTAIN latency=2.6s
